 0.001262, 0.002345, 0.009688, 0.041416, 0.180535, 0.795026, 3.499406, 15.639252, 66.632111, 285.849884,
 0.001228, 0.001312, 0.005100, 0.021686, 0.094362, 0.412902, 1.814116, 8.085097, 34.389238, 147.738170,
 0.001319, 0.000984, 0.003587, 0.015266, 0.066019, 0.290008, 1.270724, 5.602855, 23.811589, 101.422379,
 0.002920, 0.000908, 0.002910, 0.011917, 0.051339, 0.225929, 0.987778, 4.371378, 18.486577, 78.395211,
 0.004733, 0.000986, 0.002597, 0.009719, 0.043427, 0.190592, 0.823236, 3.633839, 15.311381, 64.939103,
 0.005558, 0.000983, 0.002371, 0.008586, 0.037195, 0.161452, 0.718337, 3.107458, 13.195219, 55.805163,
 0.009116, 0.001109, 0.002542, 0.007864, 0.032597, 0.146150, 0.638896, 2.775781, 11.679130, 49.448485,
 0.008575, 0.001110, 0.002475, 0.007100, 0.029028, 0.128298, 0.590449, 2.499694, 10.526064, 44.365722,
 0.011587, 0.001540, 0.003299, 0.006833, 0.026807, 0.119474, 0.543279, 2.292430, 9.688137, 40.683281,
 0.013426, 0.001864, 0.003607, 0.006814, 0.025270, 0.114965, 0.504543, 2.141738, 8.929757, 37.610612,
 0.024454, 0.002264, 0.004198, 0.007288, 0.024233, 0.103932, 0.476101, 1.971858, 8.383603, 35.195410,
 0.028313, 0.003468, 0.004768, 0.007288, 0.023126, 0.095735, 0.437457, 1.888249, 7.883721, 33.050990,
